,PLAYERID,player,DFGM,DFGA,Defending FG%,oFG%,difference
7129,203898,"Ennis, Tyler",15.0,45.0,0.3333333333333333,0.42254625252193084,0.08921291918859753
4669,203530,"Lauvergne, Joffrey",10.0,26.0,0.38461538461538464,0.47202923235313693,0.08741384773775229
99,201988,"Mills, Patty",43.0,127.0,0.33858267716535434,0.4258853889112446,0.08730271174589027
2020,203468,"McCollum, CJ",50.0,147.0,0.3401360544217687,0.42741756203634884,0.08728150761458014
5475,203093,"Jones, Terrence",76.0,202.0,0.37623762376237624,0.4579152158469919,0.08167759208461567
30920,203946,"Bairstow, Cameron",5.0,12.0,0.4166666666666667,0.49762388916891914,0.08095722250225246
19148,203268,"Gutierrez, Jorge",10.0,30.0,0.3333333333333333,0.4142300599254105,0.0808967265920772
440,203497,"Gobert, Rudy",192.0,489.0,0.39263803680981596,0.47343082977406803,0.08079279296425207
908,2754,"Allen, Tony",113.0,318.0,0.3553459119496855,0.4360086452430137,0.08066273329332818
14681,203910,"Johnson, Nick",19.0,51.0,0.37254901960784315,0.4515942803321008,0.07904526072425766
1643,203115,"Barton, Will",35.0,100.0,0.35,0.4279315805522154,0.07793158055221544
2632,203200,"Holiday, Justin",34.0,98.0,0.3469387755102041,0.4234653054671466,0.07652652995694254
376,203094,"Nicholson, Andrew",25.0,67.0,0.373134328358209,0.44946966780875736,0.07633533945054838
58494,1737,"Mohammed, Nazr",9.0,23.0,0.391304347826087,0.46638408804244347,0.0750797402163565
935,2223,"Dalembert, Samuel",94.0,231.0,0.4069264069264069,0.4775499825168269,0.07062357559041998
55,204025,"Frazier, Tim",13.0,36.0,0.3611111111111111,0.4315824979168825,0.07047138680577142
1331,203460,"Roberson, Andre",120.0,320.0,0.375,0.4449530495489154,0.0699530495489154
1198,203120,"Hamilton, Justin",43.0,106.0,0.4056603773584906,0.4742907416993422,0.06863036434085162
734,2217,"Haywood, Brendan",14.0,35.0,0.4,0.4683288241208739,0.06832882412087388
135,201579,"Hibbert, Roy",212.0,517.0,0.41005802707930367,0.47809901357975354,0.06804098650044987
9349,202379,"Evans, Jeremy",13.0,33.0,0.3939393939393939,0.45959434265060195,0.06565494871120803
374,203473,"Dedmon, Dewayne",67.0,162.0,0.41358024691358025,0.47615661663010805,0.0625763697165278
20938,203939,"Powell, Dwight",23.0,59.0,0.3898305084745763,0.45206808689704353,0.062237578422467243
5101,202687,"Biyombo, Bismack",102.0,244.0,0.4180327868852459,0.4785700439437297,0.060537257058483784
4743,203481,"Withey, Jeff",29.0,70.0,0.4142857142857143,0.47477566707041347,0.06048995278469915
38,101249,"Lucas III, John",7.0,19.0,0.3684210526315789,0.42586501924608144,0.05744396661450252
272,203110,"Green, Draymond",301.0,751.0,0.4007989347536618,0.4579905118410274,0.05719157708736561
433,201586,"Ibaka, Serge",334.0,814.0,0.4103194103194103,0.4668290822240078,0.05650967190459749
4087,2748,"Wright, Dorell",43.0,111.0,0.38738738738738737,0.4435689765848592,0.05618158919747185
4931,201156,"Young, Nick",80.0,208.0,0.38461538461538464,0.4404468789500951,0.05583149433471046
1221,203076,"Davis, Anthony",247.0,609.0,0.40558292282430214,0.46004512631475003,0.05446220349044789
197,203087,"Lamb, Jeremy",65.0,171.0,0.38011695906432746,0.4334787884838862,0.05336182941955875
42,201588,"Hill, George",63.0,164.0,0.38414634146341464,0.43639782559791496,0.052251484134500314
25,201149,"Noah, Joakim",267.0,632.0,0.4224683544303797,0.47201914071713835,0.04955078628675863
510,203527,"Kelly, Ryan",81.0,205.0,0.3951219512195122,0.44460480603874253,0.049482854819230315
1895,202344,"Booker, Trevor",124.0,305.0,0.4065573770491803,0.45390579528495434,0.047348418235774015
186,203114,"Middleton, Khris",165.0,421.0,0.3919239904988123,0.439257698450607,0.0473337079517947
704,2588,"Bonner, Matt",108.0,264.0,0.4090909090909091,0.45622531227214014,0.04713440318123102
